lambda,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
12.0,8.0,1,-1,5000.0,500.0,53897,36196,0,10808.35502225945,10807.355022259582,900.1285449403816,901.2528623542215,8.043555555555555,1.0,0.0,MM1,1
12.0,8.0,1,-1,5000.0,500.0,54062,35916,0,10990.734828842846,10989.734828842773,914.6686858168758,915.7939773209163,7.981333333333334,1.0,0.0,MM1,2
12.0,8.0,1,-1,5000.0,500.0,53549,36086,0,10650.788291188675,10649.78829118874,894.3161551827877,895.4408551212003,8.019111111111112,1.0,0.0,MM1,3
12.0,8.0,1,-1,5000.0,500.0,54237,35819,0,11300.107153714258,11299.107153714209,939.574369939817,940.7000029926014,7.959777777777778,1.0,0.0,MM1,4
12.0,8.0,1,-1,5000.0,500.0,54086,35540,0,11196.985559973655,11195.985559973771,930.2326585752822,931.3592782756507,7.897777777777778,1.0,0.0,MM1,5
12.0,8.0,1,-1,5000.0,500.0,53879,36141,0,10893.058772525506,10892.058772525621,913.7973446768641,914.9218548829464,8.031333333333333,1.0,0.0,MM1,6
12.0,8.0,1,-1,5000.0,500.0,53877,35989,0,10796.32721896559,10795.327218965565,899.3567540822494,900.481788362145,7.9975555555555555,1.0,0.0,MM1,7
12.0,8.0,1,-1,5000.0,500.0,53794,35937,0,10852.43401675145,10851.434016751278,906.1634189055746,907.2886375927899,7.986,1.0,0.0,MM1,8
12.0,8.0,1,-1,5000.0,500.0,54124,35963,0,11088.30305230963,11087.30305230978,920.3915954946682,921.5167217998547,7.991777777777778,1.0,0.0,MM1,9
4.0,8.0,1,4,5000.0,500.0,17934,17352,584,0.8415427805608102,0.3534824452934877,0.09169879708985994,1.2182723777820397,3.856,0.48806033526732256,0.032563845210215235,MM1K4,0
4.0,8.0,1,4,5000.0,500.0,17899,17379,520,0.8152754091147443,0.3358003724257047,0.086949863393502,1.2111018666791147,3.862,0.47947503668903946,0.0290519023409129,MM1K4,1
4.0,8.0,1,4,5000.0,500.0,17918,17306,610,0.8361670454903839,0.3553925011804093,0.09238963799750785,1.217402060314722,3.8457777777777777,0.48077454430997457,0.03404397812255832,MM1K4,2
4.0,8.0,1,4,5000.0,500.0,18026,17492,534,0.8301453429490031,0.34798776134089976,0.0895234922269637,1.2135635743923234,3.887111111111111,0.4821575816081033,0.029623876622656163,MM1K4,3
4.0,8.0,1,4,5000.0,500.0,17940,17395,543,0.8405428548282089,0.35756439029526005,0.09248057687536784,1.217421606075513,3.8655555555555554,0.48297846453294874,0.030267558528428093,MM1K4,4
4.0,8.0,1,4,5000.0,500.0,17811,17258,553,0.8325799158494374,0.3521151030993615,0.09181353366248271,1.2170940793442184,3.835111111111111,0.4804648127500759,0.031048228622761215,MM1K4,5
4.0,8.0,1,4,5000.0,500.0,17904,17366,537,0.8218261554145212,0.34280454056791415,0.08882749002713582,1.2129542766015518,3.859111111111111,0.4790216148466071,0.029993297587131366,MM1K4,6
4.0,8.0,1,4,5000.0,500.0,17751,17239,513,0.8228143444860395,0.342381491816658,0.08937604582489168,1.2148081256143863,3.830888888888889,0.48043285266938157,0.02889978029406794,MM1K4,7
4.0,8.0,1,4,5000.0,500.0,18033,17407,627,0.849488161994038,0.36299677307348144,0.09384072377955228,1.2196260057313324,3.8682222222222222,0.48649138892055654,0.03476958908667443,MM1K4,8
4.0,8.0,1,4,5000.0,500.0,17800,17262,535,0.8297209623809698,0.34851321099725735,0.09073999788898308,1.2161641053869612,3.836,0.4812077513837124,0.030056179775280897,MM1K4,9
6.0,8.0,1,4,5000.0,500.0,26938,24204,2733,1.4345860169545268,0.7654334146223145,0.14229972102423072,1.2667076873508578,5.378666666666667,0.6691526023322056,0.10145519340708294,MM1K4,0
6.0,8.0,1,4,5000.0,500.0,26920,24098,2821,1.4305211404547233,0.7659524332469161,0.14303203376259951,1.2671283226753094,5.355111111111111,0.6645687072078049,0.10479197622585439,MM1K4,1
6.0,8.0,1,4,5000.0,500.0,26915,24148,2767,1.4351728731456794,0.7640665211685682,0.14240140110427646,1.2674636040157687,5.3662222222222224,0.6711063519771083,0.10280512725246145,MM1K4,2
6.0,8.0,1,4,5000.0,500.0,27014,24182,2830,1.452785764827161,0.7782095596772574,0.1448121507839076,1.270343128536868,5.373777777777778,0.6745762051499073,0.10476049455837713,MM1K4,3
6.0,8.0,1,4,5000.0,500.0,27255,24376,2880,1.4587061460547852,0.7816740851910331,0.14430935965593117,1.2692994873279522,5.416888888888889,0.677032060863755,0.10566868464501926,MM1K4,4
6.0,8.0,1,4,5000.0,500.0,27084,24362,2719,1.4369106579390307,0.766341152628148,0.1415481653098867,1.2654097649443572,5.413777777777778,0.6705695053108801,0.10039137498153891,MM1K4,5
6.0,8.0,1,4,5000.0,500.0,27021,24185,2836,1.4443554717801113,0.7716981545812739,0.14358659068082416,1.2687450743440336,5.374444444444444,0.6726573171988312,0.10495540505532734,MM1K4,6
6.0,8.0,1,4,5000.0,500.0,26630,23983,2648,1.414319515981394,0.7478506812106839,0.14033401486724237,1.2653833512622035,5.329555555555555,0.6664688347706998,0.09943672549755915,MM1K4,7
6.0,8.0,1,4,5000.0,500.0,27047,24142,2908,1.4440193547590334,0.7752490089155122,0.1445486273233207,1.2692126017514223,5.364888888888889,0.6687703458435234,0.10751654527304322,MM1K4,8
6.0,8.0,1,4,5000.0,500.0,26815,24014,2804,1.4344405371731956,0.7654010675559609,0.14345721348647902,1.2688409738349216,5.336444444444444,0.6690394696172445,0.10456833861644602,MM1K4,9
8.0,8.0,1,4,5000.0,500.0,35933,28748,7184,2.0119059652654103,1.2099804540498422,0.18936675792980268,1.3148957206997465,6.388444444444445,0.8019255112155643,0.19992764311357247,MM1K4,0
8.0,8.0,1,4,5000.0,500.0,35803,28708,7091,2.01644469953372,1.2115535971442426,0.18989286193334298,1.3160574528110263,6.379555555555555,0.8048911023894622,0.19805602882440018,MM1K4,1
8.0,8.0,1,4,5000.0,500.0,36282,28994,7288,1.9883586009513234,1.1875296395330415,0.18432265315137367,1.3086165484405101,6.4431111111111115,0.8008289614183093,0.20087095529463647,MM1K4,2
8.0,8.0,1,4,5000.0,500.0,35866,28665,7197,1.9893533417922133,1.1915623872124235,0.18702669336335256,1.3122561779364499,6.37,0.7977909545797928,0.20066358110745552,MM1K4,3
8.0,8.0,1,4,5000.0,500.0,36063,28756,7307,2.016460115327449,1.2104818707821285,0.18948152024221004,1.3156075666638454,6.3902222222222225,0.8059782445453181,0.20261764134985996,MM1K4,4
8.0,8.0,1,4,5000.0,500.0,35917,28833,7086,2.004126045923064,1.2022024133829607,0.18764247566883616,1.3128027363666341,6.407333333333334,0.801923632540116,0.19728819222095387,MM1K4,5
8.0,8.0,1,4,5000.0,500.0,36439,28932,7508,2.0166488496291635,1.2146074441536514,0.18891690006801015,1.3136697482917294,6.429333333333333,0.8020414054755336,0.20604297593238013,MM1K4,6
8.0,8.0,1,4,5000.0,500.0,35875,28782,7095,1.9808221455900854,1.1843259813781613,0.18517531854381386,1.3097073623166182,6.396,0.7964961642119328,0.19777003484320557,MM1K4,7
8.0,8.0,1,4,5000.0,500.0,35922,28918,7003,1.9829732815654186,1.1852224439732226,0.18442709464655885,1.3085636566393821,6.426222222222222,0.7977508375922074,0.19495016981237126,MM1K4,8
8.0,8.0,1,4,5000.0,500.0,35996,28663,7330,2.013046179749862,1.2104155547041024,0.19002619876391844,1.3160324213656422,6.369555555555555,0.8026306250457504,0.203633737081898,MM1K4,9
12.0,8.0,1,4,5000.0,500.0,54196,33188,21006,2.775817957257074,1.8484171882145641,0.25055024022456146,1.3762925504934105,7.375111111111111,0.9274007690425021,0.38759318030850987,MM1K4,0
12.0,8.0,1,4,5000.0,500.0,54073,33339,20732,2.7583875076643762,1.8347964954410418,0.24763536500005606,1.3722980703446526,7.408666666666667,0.923591012223305,0.38340761563072145,MM1K4,1
12.0,8.0,1,4,5000.0,500.0,54293,33560,20734,2.7637661353093765,1.8385080739879285,0.24652700851468518,1.3705870113130458,7.457777777777777,0.9252580613214424,0.3818908514909841,MM1K4,2
12.0,8.0,1,4,5000.0,500.0,54369,33353,21016,2.7734219680769563,1.8469710931914098,0.24919755369960278,1.3742042393360925,7.411777777777778,0.9264508748855076,0.3865438025345325,MM1K4,3
12.0,8.0,1,4,5000.0,500.0,54071,33483,20590,2.7430275130832555,1.8188947506874011,0.2444557168641952,1.3686590992653367,7.440666666666667,0.9241327623958285,0.38079562057295036,MM1K4,4
12.0,8.0,1,4,5000.0,500.0,53925,33200,20724,2.7595013105842425,1.8352378894278998,0.2487407102978345,1.3740139396542774,7.377777777777778,0.9242634211563707,0.3843115438108484,MM1K4,5
12.0,8.0,1,4,5000.0,500.0,54399,33273,21125,2.7823905271401017,1.8553205666466166,0.25093105182021574,1.3763077761140072,7.394,0.927069960493476,0.3883343443813305,MM1K4,6
12.0,8.0,1,4,5000.0,500.0,53655,33298,20357,2.7390866705182426,1.8160974484760157,0.2454096571514055,1.3701356044092403,7.399555555555556,0.922989222042232,0.37940546081446275,MM1K4,7
12.0,8.0,1,4,5000.0,500.0,54450,33300,21153,2.7716160178766063,1.8465540602886474,0.24955280963157767,1.3745644557244951,7.4,0.9250619575879169,0.3884848484848485,MM1K4,8
12.0,8.0,1,4,5000.0,500.0,54416,33294,21125,2.7735578332463424,1.8471344827744187,0.24968486303464718,1.3749007331941014,7.398666666666666,0.9264233504719691,0.3882130255807116,MM1K4,9
4.0,8.0,1,8,5000.0,500.0,17999,17965,38,0.9838521220722913,0.4815938912783637,0.12068908356481664,1.2465064668792847,3.9922222222222223,0.5022582307939277,0.0021112284015778653,MM1K8,0
4.0,8.0,1,8,5000.0,500.0,18068,18029,40,0.9782799320602689,0.4796784938357523,0.11972673039330442,1.2441767228118672,4.006444444444444,0.4986014382245165,0.002213858755811379,MM1K8,1
4.0,8.0,1,8,5000.0,500.0,17747,17708,39,0.9972752841252676,0.4968368361945108,0.12625738439548784,1.2534300191192411,3.935111111111111,0.5004384479307568,0.0021975545162562686,MM1K8,2
4.0,8.0,1,8,5000.0,500.0,17815,17780,33,0.9821017508479611,0.4906755788610933,0.12411111913676753,1.248483428614096,3.951111111111111,0.49142617198686783,0.0018523715969688465,MM1K8,3
4.0,8.0,1,8,5000.0,500.0,18217,18184,32,0.9959301532189025,0.4935090943942424,0.12212884540112687,1.246461465419185,4.0408888888888885,0.5024210588246601,0.0017566009771092935,MM1K8,4
4.0,8.0,1,8,5000.0,500.0,17943,17894,46,0.9905352647385818,0.4927236934643271,0.12386198561578958,1.2490298727472209,3.9764444444444442,0.49781157127425446,0.002563673856099872,MM1K8,5
4.0,8.0,1,8,5000.0,500.0,17847,17816,27,0.9573697624049311,0.46599682988329694,0.11761471170127431,1.241722901814326,3.959111111111111,0.49137293252163433,0.0015128593040847202,MM1K8,6
4.0,8.0,1,8,5000.0,500.0,18075,18058,18,0.9650846255631659,0.46824231867316396,0.1166845959701649,1.240498153672802,4.012888888888889,0.49684230689000186,0.000995850622406639,MM1K8,7
4.0,8.0,1,8,5000.0,500.0,18039,17993,46,0.9994175188095094,0.4980748980062262,0.12454742886004092,1.2499361014232606,3.9984444444444445,0.5013426208032832,0.002550030489494983,MM1K8,8
4.0,8.0,1,8,5000.0,500.0,17944,17896,51,1.0113295549855672,0.5065826423304944,0.12738693435711934,1.254311247400041,3.976888888888889,0.5047469126550725,0.0028421756576014266,MM1K8,9
6.0,8.0,1,8,5000.0,500.0,26878,26244,633,2.226740328062319,1.4970428964131055,0.25668740899549986,1.3818087316046341,5.832,0.7296974316491887,0.023550859438946352,MM1K8,0
6.0,8.0,1,8,5000.0,500.0,26975,26243,727,2.2574099930128497,1.5290193262663585,0.26214130936773766,1.38703549159775,5.831777777777778,0.7283906667464984,0.02695088044485635,MM1K8,1
6.0,8.0,1,8,5000.0,500.0,27200,26384,816,2.3302846610036325,1.5916909700871007,0.2714754914111563,1.3974484905441282,5.863111111111111,0.7385936909165429,0.03,MM1K8,2
6.0,8.0,1,8,5000.0,500.0,26911,26168,746,2.217821506660864,1.4967538295773732,0.2574001435262012,1.3814129119919398,5.815111111111111,0.7210676770834995,0.027721006279959867,MM1K8,3
6.0,8.0,1,8,5000.0,500.0,27364,26603,758,2.3029324535947793,1.56676437329716,0.26501194871289413,1.3895352988931038,5.911777777777778,0.7361680802976436,0.027700628563075574,MM1K8,4
6.0,8.0,1,8,5000.0,500.0,27131,26305,828,2.3448174384742173,1.6093925158897486,0.27534518191958185,1.4011571370695755,5.845555555555555,0.7354249225844511,0.030518594965168996,MM1K8,5
6.0,8.0,1,8,5000.0,500.0,26919,26194,726,2.244690183536938,1.5164311345933275,0.2605931033900772,1.385696315953306,5.820888888888889,0.7282590489436298,0.026969798283740107,MM1K8,6
6.0,8.0,1,8,5000.0,500.0,27174,26372,799,2.3158911271718607,1.5866704943853829,0.27070167237399945,1.3951268926169968,5.860444444444444,0.7292206327864755,0.029403105910061088,MM1K8,7
6.0,8.0,1,8,5000.0,500.0,27096,26443,653,2.245000616439707,1.5146572788926655,0.25776038100884824,1.382048284006296,5.876222222222222,0.7303433375470565,0.02409949808089755,MM1K8,8
6.0,8.0,1,8,5000.0,500.0,27388,26536,851,2.4171286143085657,1.670717322063675,0.2833188609637983,1.4098947788144756,5.896888888888889,0.7464112922448886,0.031072002336789833,MM1K8,9
8.0,8.0,1,8,5000.0,500.0,36080,32105,3975,4.079445309240704,3.1856811647411525,0.4465254206943966,1.5717979835885172,7.134444444444444,0.8937641444995975,0.11017184035476718,MM1K8,0
8.0,8.0,1,8,5000.0,500.0,35808,31983,3821,3.947256318890822,3.06284744895521,0.43091682214073285,1.5553545690773691,7.107333333333333,0.8844088699356956,0.1067079982126899,MM1K8,1
8.0,8.0,1,8,5000.0,500.0,36046,31892,4157,4.121899892856301,3.2229852826087715,0.4547923334842543,1.5816289848585252,7.087111111111111,0.8989146102474818,0.11532486267547024,MM1K8,2
8.0,8.0,1,8,5000.0,500.0,35760,31827,3933,4.008709971649152,3.1206572756807796,0.44109484330313053,1.566654443395731,7.072666666666667,0.8880526959683984,0.10998322147651007,MM1K8,3
8.0,8.0,1,8,5000.0,500.0,35912,31826,4090,4.062200464277803,3.1671834718385,0.4478704058849474,1.5744159855244562,7.072444444444445,0.8950169924392977,0.11388950768545333,MM1K8,4
8.0,8.0,1,8,5000.0,500.0,36012,31853,4164,4.03939304867431,3.1498165196100336,0.44513661165925955,1.570808049846055,7.078444444444444,0.8895765290642336,0.11562812395868044,MM1K8,5
8.0,8.0,1,8,5000.0,500.0,36578,32156,4418,4.104919196013503,3.210883130294613,0.44927618876374636,1.5743918027855406,7.145777777777778,0.8940360657188158,0.12078298430750724,MM1K8,6
8.0,8.0,1,8,5000.0,500.0,35849,31680,4165,4.134766318843991,3.2400538762668125,0.46016273966873417,1.587257872432348,7.04,0.894712442577142,0.1161817623922564,MM1K8,7
8.0,8.0,1,8,5000.0,500.0,36144,32052,4093,4.062276902250696,3.1684422336921774,0.44483056212131955,1.5703205521312398,7.1226666666666665,0.8938346685585411,0.11324147853032315,MM1K8,8
8.0,8.0,1,8,5000.0,500.0,36556,32373,4181,4.100146146288195,3.201066263297002,0.4448729257393554,1.5698471906667464,7.194,0.8990798829911684,0.11437246963562753,MM1K8,9
12.0,8.0,1,8,5000.0,500.0,54097,35432,18667,6.283509035723483,5.29529621378717,0.6726519031938456,1.7981586089393649,7.873777777777778,0.9882128219363163,0.34506534558293434,MM1K8,0
12.0,8.0,1,8,5000.0,500.0,54166,35685,18475,6.269517134559411,5.280825189692128,0.6658358972175168,1.7905153959658955,7.93,0.9886919448673758,0.3410811209984123,MM1K8,1
12.0,8.0,1,8,5000.0,500.0,53938,35445,18494,6.234703391419753,5.2478268010586895,0.6662810222861878,1.7915693037660088,7.876666666666667,0.986876590361079,0.34287515295339094,MM1K8,2
12.0,8.0,1,8,5000.0,500.0,53825,35505,18316,6.237035477938696,5.250942755653864,0.66546167083139,1.7904403822687278,7.89,0.9860927222847644,0.34028797027403623,MM1K8,3
12.0,8.0,1,8,5000.0,500.0,54015,35794,18225,6.220671349109194,5.2353458793976495,0.658263832738863,1.7821435343965253,7.9542222222222225,0.9853254697115134,0.3374062760344349,MM1K8,4
12.0,8.0,1,8,5000.0,500.0,53759,35540,18222,6.257601278400249,5.270636845953438,0.667371566855839,1.7923328676170065,7.897777777777778,0.986964432446831,0.3389571978645436,MM1K8,5
12.0,8.0,1,8,5000.0,500.0,54128,35209,18922,6.270797045058993,5.283316536476889,0.6753294743582984,1.8015408105775947,7.824222222222223,0.9874805085822299,0.3495787762341117,MM1K8,6
12.0,8.0,1,8,5000.0,500.0,53751,35618,18135,6.179359964455653,5.1935463530822075,0.6561551640552417,1.7807016382842704,7.915111111111111,0.9858136113733739,0.33738907183122174,MM1K8,7
12.0,8.0,1,8,5000.0,500.0,54003,35466,18537,6.2426654214241895,5.256329714335731,0.6670365063002751,1.7921795199899009,7.881333333333333,0.9863357070883827,0.3432587078495639,MM1K8,8
12.0,8.0,1,8,5000.0,500.0,54276,35306,18972,6.259864430715701,5.2723994479472,0.6720981673941989,1.7979603064306744,7.845777777777778,0.9874649827684894,0.34954676099933674,MM1K8,9
4.0,8.0,3,8,5000.0,500.0,17880,17880,0,0.504079917433907,0.003051342857226498,0.0007679554170872059,1.126865751032029,3.973333333333333,0.1670095248588935,0.0,MM3K8,0
4.0,8.0,3,8,5000.0,500.0,17979,17978,0,0.5020530441163145,0.0021297675478259507,0.000533093445612236,1.1256526876385649,3.995111111111111,0.16664109218949616,0.0,MM3K8,1
4.0,8.0,3,8,5000.0,500.0,17941,17941,0,0.5022058717201279,0.0038435804912649524,0.0009640550811377452,1.1259643510807882,3.9868888888888887,0.16612076374295429,0.0,MM3K8,2
4.0,8.0,3,8,5000.0,500.0,17851,17851,0,0.4981667394730444,0.0028453781085173405,0.0007172820283641271,1.125581218286293,3.9668888888888887,0.16510712045484235,0.0,MM3K8,3
4.0,8.0,3,8,5000.0,500.0,18091,18092,0,0.5052001754196831,0.003583011440881971,0.0008911978489923098,1.1256597972499582,4.020444444444444,0.16720572132626702,0.0,MM3K8,4
4.0,8.0,3,8,5000.0,500.0,17737,17737,0,0.48646842374184984,0.002483204974625475,0.0006300063362358143,1.1234204153373344,3.9415555555555555,0.16132840625574144,0.0,MM3K8,5
4.0,8.0,3,8,5000.0,500.0,18085,18084,0,0.5012825750105164,0.0031258664398523908,0.0007778367053381861,1.124722072862129,4.018666666666666,0.16605223619022136,0.0,MM3K8,6
4.0,8.0,3,8,5000.0,500.0,18049,18049,0,0.5020715758438647,0.0031415824418709994,0.0007832633934522409,1.1251771339851206,4.010888888888889,0.16630999780066458,0.0,MM3K8,7
4.0,8.0,3,8,5000.0,500.0,18038,18037,0,0.5065172566998664,0.003512926516365029,0.0008764300783745984,1.126362794679791,4.008222222222222,0.1676681100611671,0.0,MM3K8,8
4.0,8.0,3,8,5000.0,500.0,18020,18018,0,0.5052530263375519,0.0033997454339120547,0.0008490872712068069,1.1261771428293723,4.004,0.16728442696787996,0.0,MM3K8,9
6.0,8.0,3,8,5000.0,500.0,27059,27058,1,0.7605912458132855,0.014084659555612639,0.002342411412530744,1.1264934808987952,6.012888888888889,0.24883552875255763,3.695628071990835e-05,MM3K8,0
6.0,8.0,3,8,5000.0,500.0,27030,27029,2,0.7659512222166647,0.014827416176879094,0.0024758372020220703,1.1275301683538401,6.006444444444444,0.25037460201326184,7.399186089530152e-05,MM3K8,1
6.0,8.0,3,8,5000.0,500.0,26874,26873,2,0.7541602485290463,0.013189288195392376,0.0022086033148240127,1.1262874768884292,5.971777777777778,0.24699032011121794,7.442137381856069e-05,MM3K8,2
6.0,8.0,3,8,5000.0,500.0,26705,26706,0,0.7555479979818035,0.014206592383478576,0.002393831563156354,1.1273250219376167,5.934666666666667,0.24711380186610832,0.0,MM3K8,3
6.0,8.0,3,8,5000.0,500.0,26839,26838,1,0.7583321291637313,0.013932139758279782,0.0023360395302279985,1.127143643124184,5.964,0.24813332980181715,3.7259212340251126e-05,MM3K8,4
6.0,8.0,3,8,5000.0,500.0,26862,26863,0,0.7580638890106581,0.014197982883337268,0.002378398651491557,1.1270074969111443,5.969555555555556,0.2479553020424403,0.0,MM3K8,5
6.0,8.0,3,8,5000.0,500.0,26866,26863,2,0.766590644115036,0.014788702446906844,0.0024773540189510033,1.1284040748005413,5.969555555555556,0.2506006472227097,7.444353457902182e-05,MM3K8,6
6.0,8.0,3,8,5000.0,500.0,27089,27087,0,0.7677320089369346,0.014515344812717835,0.002411453895124239,1.12753463272856,6.019333333333333,0.25107222137473895,0.0,MM3K8,7
6.0,8.0,3,8,5000.0,500.0,27030,27029,0,0.7650665035290165,0.013118934053335769,0.0021841430774357526,1.12736405991825,6.006444444444444,0.25064918982522694,0.0,MM3K8,8
6.0,8.0,3,8,5000.0,500.0,26789,26789,0,0.7567167858305429,0.013988699998253954,0.002349813355935003,1.1271128536420332,5.953111111111111,0.24757602861076297,0.0,MM3K8,9
8.0,8.0,3,8,5000.0,500.0,35804,35796,8,1.0310592792134812,0.043236618112158204,0.005435377737867692,1.1296159389441531,7.954666666666666,0.32927422036710763,0.00022343872193051055,MM3K8,0
8.0,8.0,3,8,5000.0,500.0,36269,36265,4,1.0551775259305276,0.0463899564728846,0.005756371270590948,1.1309333756152584,8.05888888888889,0.3362625231525477,0.00011028702197468913,MM3K8,1
8.0,8.0,3,8,5000.0,500.0,36005,35998,7,1.0441863575224384,0.04392293620518795,0.005490672062985326,1.1305342511401375,7.999555555555555,0.33342114043908344,0.0001944174420219414,MM3K8,2
