lambda,num_clients,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
6.0,1,8.0,1,-1,5000.0,500.0,27150,27150,0,3.1547795592828116,2.400479073428295,0.3978694596842502,1.5228916396601258,6.033333333333333,0.75430048585452,0.0,MM1,15
6.0,1,8.0,1,-1,5000.0,500.0,26961,26962,0,3.0056652960842887,2.253974804461443,0.37615606098121335,1.5016189341293222,5.991555555555555,0.7516904916228329,0.0,MM1,16
6.0,1,8.0,1,-1,5000.0,500.0,26857,26859,0,3.010361751036981,2.2604580084656876,0.3787621773016372,1.5043933091335449,5.968666666666667,0.7499037425712728,0.0,MM1,17
6.0,1,8.0,1,-1,5000.0,500.0,26865,26866,0,2.9921121478746304,2.245098571931924,0.3760503507797969,1.501176712646009,5.9702222222222225,0.7470135759427308,0.0,MM1,18
6.0,1,8.0,1,-1,5000.0,500.0,26849,26846,0,2.9152642291605058,2.165761698830293,0.36300970028459956,1.4886430849401273,5.965777777777777,0.7495025303301888,0.0,MM1,19
6.0,1,8.0,1,-1,5000.0,500.0,27132,27135,0,3.160334514627039,2.398614629245998,0.39784722517097176,1.5241721725811748,6.03,0.7617198853810444,0.0,MM1,20
6.0,1,8.0,1,-1,5000.0,500.0,27090,27089,0,2.933400296002789,2.186753063688502,0.3632513394027585,1.4872778154657258,6.019777777777778,0.7466472323142789,0.0,MM1,21
6.0,1,8.0,1,-1,5000.0,500.0,27000,26994,0,2.946830771095986,2.19320259300344,0.3655334352500098,1.4911590948801086,5.998666666666667,0.7536281780925222,0.0,MM1,22
6.0,1,8.0,1,-1,5000.0,500.0,27180,27193,0,3.1356620954133283,2.371482440678906,0.3928086988955638,1.5192702220526109,6.042888888888889,0.7641796547343679,0.0,MM1,23
6.0,1,8.0,1,-1,5000.0,500.0,27123,27113,0,3.0681917945439388,2.320885228194102,0.38494773621193995,1.5089795948173763,6.025111111111111,0.7473065663498203,0.0,MM1,24
6.0,1,8.0,1,-1,5000.0,500.0,26890,26888,0,2.877902216184775,2.130325108068909,0.3564082754256733,1.481525219017042,5.9751111111111115,0.7475771081158885,0.0,MM1,25
6.0,1,8.0,1,-1,5000.0,500.0,27415,27410,0,3.2008374256963767,2.440756501757664,0.40064881387989393,1.5254234984878339,6.091111111111111,0.7600809239387327,0.0,MM1,26
6.0,1,8.0,1,-1,5000.0,500.0,26998,26996,0,3.059658641259035,2.3054163088240682,0.3843011677912215,1.510019146512613,5.9991111111111115,0.7542423324350112,0.0,MM1,27
6.0,1,8.0,1,-1,5000.0,500.0,26965,26967,0,2.9949479841257545,2.243416933097855,0.37436308456924167,1.4997762462069715,5.992666666666667,0.751531051027897,0.0,MM1,28
6.0,1,8.0,1,-1,5000.0,500.0,26896,26900,0,3.0588233616060103,2.310324394624531,0.38660838837410416,1.511823264702009,5.977777777777778,0.7484989669814511,0.0,MM1,29
6.0,1,8.0,1,-1,5000.0,500.0,27357,27363,0,3.1896935390041277,2.428830526813573,0.39955069924151626,1.524682429826611,6.080666666666667,0.760863012190557,0.0,MM1,30
6.0,1,8.0,1,-1,5000.0,500.0,26699,26702,0,2.7794578421116927,2.041262080924358,0.34405480334116945,1.468459746261055,5.933777777777777,0.7381957611873773,0.0,MM1,31
6.0,1,8.0,1,-1,5000.0,500.0,26958,26960,0,3.043680094156121,2.2881012596866452,0.3819225272201112,1.5080407466784063,5.9911111111111115,0.7555788344694693,0.0,MM1,32
6.0,1,8.0,1,-1,5000.0,500.0,26777,26775,0,2.9336617477117897,2.1888979466429754,0.3678718124532041,1.4930249345780116,5.95,0.7447638010688392,0.0,MM1,33
6.0,1,8.0,1,-1,5000.0,500.0,27249,27253,0,3.2270197933058435,2.4714050851729605,0.40823313373210846,1.533017763442382,6.056222222222222,0.7556147081328833,0.0,MM1,34
6.0,1,8.0,1,-1,5000.0,500.0,26953,26958,0,2.9761719209264377,2.228622504347363,0.3720742968316058,1.4968848465125268,5.990666666666667,0.7475494165791204,0.0,MM1,35
6.0,1,8.0,1,-1,5000.0,500.0,27451,27451,0,3.350693690590842,2.584546313500596,0.42363971061273337,1.5492326162040315,6.100222222222222,0.7661473770902673,0.0,MM1,36
6.0,1,8.0,1,-1,5000.0,500.0,27004,27002,0,2.904404820705766,2.1564177735526506,0.3593564426989804,1.4840036669542032,6.000444444444445,0.7479870471531246,0.0,MM1,37
6.0,1,8.0,1,-1,5000.0,500.0,27102,27090,0,2.932160358001409,2.1745366206474723,0.36099688613054015,1.486846039217984,6.02,0.7576237373539355,0.0,MM1,38
6.0,1,8.0,1,-1,5000.0,500.0,26849,26857,0,2.967179715994578,2.22758280525398,0.3734077554748634,1.497345042132195,5.968222222222222,0.7395969107406226,0.0,MM1,39
6.0,1,8.0,1,-1,5000.0,500.0,27193,27198,0,3.0835596012666433,2.329628315709234,0.3854897030480191,1.5102314766869271,6.044,0.7539312855574375,0.0,MM1,40
6.0,1,8.0,1,-1,5000.0,500.0,27025,27032,0,2.9253354667391114,2.172892068969967,0.3618110249339229,1.487069620599908,6.0071111111111115,0.7524433977691454,0.0,MM1,41
6.0,1,8.0,1,-1,5000.0,500.0,26980,26972,0,3.0440100943122936,2.295192591269013,0.38285587437181623,1.507787626632757,5.993777777777778,0.7488175030432915,0.0,MM1,42
6.0,1,8.0,1,-1,5000.0,500.0,26900,26892,0,2.912164219137933,2.1670640708738858,0.36246842776306093,1.4871536463607522,5.976,0.7451001482641036,0.0,MM1,43
