lambda,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
8.0,8.0,1,8,1000.0,100.0,7220,6476,746,4.036862139135205,3.1485456930221996,0.4383828395701456,1.5618632065082343,7.195555555555556,0.8883164461130044,0.10332409972299168,MM1K8,2
12.0,8.0,1,8,1000.0,100.0,10877,7098,3777,6.360818899537419,5.36988579799504,0.6807997303477169,1.8064996299171265,7.886666666666667,0.9909331015423675,0.34724648340535075,MM1K8,0
12.0,8.0,1,8,1000.0,100.0,10846,7189,3654,6.2312223067410715,5.24494459108414,0.6565683758531599,1.7800598767062716,7.987777777777778,0.9862777156569207,0.33689839572192515,MM1K8,1
12.0,8.0,1,8,1000.0,100.0,10757,7060,3695,6.235455859527434,5.248035062194846,0.6689311344088976,1.7947645706581208,7.844444444444444,0.9874207973325558,0.3434972575997025,MM1K8,2
4.0,8.0,3,8,1000.0,100.0,3546,3545,0,0.5073126353615927,0.002910984223802144,0.0007390368974391903,1.128787176240906,3.938888888888889,0.16813388371259685,0.0,MM3K8,0
4.0,8.0,3,8,1000.0,100.0,3618,3620,0,0.49902180355809783,0.0011456928527582338,0.0002848407644979034,1.1241865737793155,4.022222222222222,0.16595870356844653,0.0,MM3K8,1
4.0,8.0,3,8,1000.0,100.0,3604,3605,0,0.5057886385465434,0.0028609084283049433,0.0007142351138625378,1.1263133879109979,4.0055555555555555,0.16764257670607952,0.0,MM3K8,2
6.0,8.0,3,8,1000.0,100.0,5408,5407,0,0.7367128583766667,0.014190504378026042,0.0023620221823975286,1.1227325308511318,6.007777777777778,0.2408407846662135,0.0,MM3K8,0
6.0,8.0,3,8,1000.0,100.0,5401,5398,1,0.7754950360807924,0.01934191252602397,0.003224846475254089,1.1292726150903725,5.997777777777777,0.25205104118492283,0.00018515089798185522,MM3K8,1
6.0,8.0,3,8,1000.0,100.0,5374,5376,0,0.7716266297214686,0.01318672927625103,0.0022075997672295253,1.1292344424001233,5.973333333333334,0.2528133001484058,0.0,MM3K8,2
8.0,8.0,3,8,1000.0,100.0,7111,7110,1,1.0170238729815062,0.04142287311067147,0.005243401659578668,1.1287371991115822,7.9,0.3252003332902782,0.0001406271972999578,MM3K8,0
8.0,8.0,3,8,1000.0,100.0,7313,7309,3,1.0798417892006342,0.05004760016916772,0.006162654282699541,1.13296528689214,8.12111111111111,0.3432647296771555,0.00041022836045398605,MM3K8,1
8.0,8.0,3,8,1000.0,100.0,7174,7175,0,1.0330789190864604,0.04650839510040137,0.005833805657193203,1.1295856027246338,7.972222222222222,0.3288568413286864,0.0,MM3K8,2
12.0,8.0,3,8,1000.0,100.0,10788,10739,48,1.7357025229399983,0.22322363551208865,0.018703664117126352,1.1454231173284768,11.932222222222222,0.5041596291426371,0.004449388209121246,MM3K8,0
12.0,8.0,3,8,1000.0,100.0,10884,10856,28,1.7015958153755935,0.20626068066881859,0.017099724815948483,1.1410681866099899,12.062222222222223,0.4984450449022571,0.0025725836089672913,MM3K8,1
12.0,8.0,3,8,1000.0,100.0,10868,10821,47,1.6954510055210181,0.20167977515111704,0.016774031756400087,1.1410309010483977,12.023333333333333,0.4979237434566309,0.0043246227456753775,MM3K8,2
